# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_selection eff_final
1.250000e+00 7.674000e-02 7.201509e-02 6.561000e-02 3.315317e-13 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 7.508921e+08 3.315324e-07 9.554046e-02 4.132237e-09
1.250000e+00 3.396000e-02 3.186907e-02 6.561000e-02 1.720763e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.789296e+10 1.720766e-09 9.368128e-02 2.049551e-11
1.250000e+00 3.420000e-01 3.209429e-01 6.561000e-02 2.410452e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180195e+01 3.918961e+05 2.410457e-03 9.737474e-02 3.402566e-05
1.250000e+00 3.891000e-02 3.651430e-02 6.561000e-02 4.531256e-15 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 2.995122e+10 4.531265e-09 9.730156e-02 5.200218e-11
1.250000e+00 2.606000e-01 2.445548e-01 6.561000e-02 5.135563e-10 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180202e+01 1.529921e+06 5.135573e-04 9.623765e-02 6.705922e-06
1.250000e+00 2.986000e-01 2.802151e-01 6.561000e-02 1.154691e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180199e+01 7.736783e+05 1.154693e-03 9.729360e-02 1.532838e-05
1.250000e+00 1.524000e+00 1.430167e+00 6.561000e-02 4.219215e-09 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180165e+01 2.211144e+02 4.219223e-03 1.136794e-01 4.689556e-03
1.250000e+00 1.972000e-02 1.850583e-02 6.561000e-02 9.996353e-18 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 6.696904e+12 9.996373e-12 9.288773e-02 1.140558e-13
1.250000e+00 5.889000e-01 5.526412e-01 6.561000e-02 2.647989e-08 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180091e+01 2.580539e+04 2.647994e-02 9.905950e-02 6.857100e-04
1.250000e+00 1.734000e-01 1.627237e-01 6.561000e-02 4.677162e-11 2.000002e-03 1.000000e+00 8.000000e-04 1.000001e-03 3.180203e+01 1.184628e+07 4.677171e-05 9.616580e-02 5.789359e-07
