# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geom eff_selection eff_total
6.141000e-01 1.805000e-02 6.138821e-13 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 5.750707e+09 6.139435e-05 3.998574e-02 3.935308e-02 4.199261e-12
2.000000e+00 4.375000e-01 3.091964e-07 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.179454e+01 7.544661e+04 3.092273e+01 1.097968e-04 8.299476e-03 4.191973e-04
9.283000e-02 1.194000e-01 3.116380e-03 2.990332e-04 4.228968e-04 8.000000e-04 2.990332e-04 1.764949e+01 3.251569e-04 2.786694e+02 7.564067e-02 2.957620e-02 5.452743e-05
1.579000e+00 5.878000e-02 3.544624e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.180203e+01 6.958337e+08 3.544979e+02 1.369539e-09 4.069814e-02 7.959976e-04
4.309000e-01 1.343000e-01 1.015627e-06 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 2.681527e+01 5.748229e+04 1.015729e+02 4.161790e-02 2.961519e-02 2.227266e-06
6.514000e-02 4.125000e-02 7.470278e-05 2.040858e-03 2.886204e-03 8.000000e-04 2.040854e-03 1.385782e+01 2.109836e+05 3.111448e+02 7.515929e-02 3.888800e-02 4.823430e-07
5.789000e-02 3.665000e-02 1.047862e-04 2.210128e-03 3.125585e-03 8.000000e-04 2.210122e-03 8.637072e+00 2.022221e+05 5.118457e+02 8.597359e-02 4.242964e-02 5.114611e-07
7.776000e-01 2.154000e-01 7.831661e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.129214e+01 5.799177e+04 7.832444e+00 3.342373e-02 2.028608e-02 1.440669e-06
1.108000e+00 4.375000e-01 4.524862e-08 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.092133e+01 6.668127e+03 4.525314e+00 3.682553e-02 9.394997e-03 6.562368e-06
2.000000e-02 3.455000e-01 7.496106e-03 2.458055e-04 3.476215e-04 8.000000e-04 2.458055e-04 1.208502e+01 3.179040e-07 4.529173e+02 1.652028e-01 3.681361e-02 7.093421e-05
2.687000e-01 5.541000e-01 8.145712e-06 3.569764e-03 5.048376e-03 8.000000e-04 3.569741e-03 2.788849e+01 7.681422e-08 1.038026e+02 5.945160e-02 7.638488e-03 2.592247e-05
2.122000e-01 1.343000e-01 3.331763e-05 3.402157e-03 4.811348e-03 8.000000e-04 3.402137e-03 1.492029e+01 2.306837e+04 3.856406e+02 5.067924e-02 2.796941e-02 6.590263e-06
2.850000e-02 1.000000e+00 3.296873e-06 1.044918e-08 1.477738e-08 8.000000e-04 1.044918e-08 3.180203e+01 1.474608e+01 3.599705e-10 1.673594e-01 1.348652e-02 4.253861e-05
1.777000e+00 1.266000e-02 2.408703e-06 9.997622e-03 1.413807e-02 8.000000e-04 9.997122e-03 3.180203e+01 2.456736e+12 2.407558e+02 8.087652e-14 4.330745e-02 9.092883e-04
6.514000e-02 2.572000e-02 1.532349e-05 4.109789e-03 5.812071e-03 8.000000e-04 4.109755e-03 1.835593e+01 6.604309e+05 2.588194e+02 7.948853e-02 4.115637e-02 9.950933e-08
1.403000e+00 3.070000e-01 5.504715e-09 1.000050e-02 1.414214e-02 8.000000e-04 1.000000e-02 3.176331e+01 1.074051e+05 5.505266e-01 3.647521e-02 1.199019e-02 1.145020e-06
1.323000e-01 1.701000e-01 6.789098e-04 6.900813e-04 9.759221e-04 8.000000e-04 6.900812e-04 1.604767e+01 4.296858e-05 3.233051e+02 6.311200e-02 1.764690e-02 3.214612e-05
1.675000e-01 1.266000e-02 1.408084e-09 9.999167e-03 1.414025e-02 8.000000e-04 9.998668e-03 3.179178e+01 1.887820e+08 1.407850e-01 5.549825e-02 3.964119e-02 1.295904e-10
4.571000e-02 2.894000e-02 8.353650e-05 1.656859e-03 2.343149e-03 8.000000e-04 1.656857e-03 2.019601e+01 4.556552e+05 2.293228e+02 9.927245e-02 4.308181e-02 2.247429e-07
