# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events
3.403000e-01 1.805000e-02 1.301528e-06 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.250499e+01 3.447210e+06 1.301301e+02
7.330000e-02 5.223000e-02 2.483219e-02 1.448546e-04 2.048554e-04 1.000000e-02 1.448546e-04 1.574899e+01 1.192809e+05 5.210505e+02
2.000000e-02 3.888000e-01 6.416542e-01 2.837219e-05 4.012434e-05 1.000000e-02 2.837219e-05 1.471477e+01 1.675841e-05 5.165196e+02
1.579000e+00 3.257000e-02 2.670819e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 8.460315e+27 2.671552e-42
1.579000e+00 8.377000e-02 6.436521e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.513928e+25 6.438288e-40
8.751000e-01 3.257000e-02 2.331618e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.878354e+26 2.332258e-40
7.776000e-01 7.017000e-01 3.929376e-14 6.601087e-09 9.335346e-09 1.000000e-02 6.601087e-09 3.180203e+01 1.107056e+12 1.712200e-18
5.144000e-02 1.914000e-01 1.854366e+00 1.523281e-05 2.154244e-05 1.000000e-02 1.523281e-05 1.279949e+01 3.274848e-03 4.302841e+02
1.777000e+00 3.665000e-02 1.631206e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.435414e+27 1.631654e-42
4.571000e-02 4.924000e-01 1.128190e-01 6.639554e-05 9.389747e-05 1.000000e-02 6.639554e-05 2.050599e+01 7.889623e-06 4.973479e+02
1.579000e+00 5.223000e-02 4.083939e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.939737e+26 4.085060e-41
1.489000e-01 1.000000e+00 2.091395e-04 2.130716e-04 3.013287e-04 1.000000e-02 2.130716e-04 3.177303e+01 9.702014e-07 9.494828e+00
1.885000e-01 1.000000e-02 1.812965e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.488056e+19 7.899877e-23
1.885000e-01 1.512000e-01 1.479869e-02 1.834680e-04 2.594629e-04 1.000000e-02 1.834680e-04 1.429259e+01 1.384588e+04 4.981312e+02
2.850000e-02 4.375000e-01 3.003100e-01 3.990161e-05 5.642940e-05 1.000000e-02 3.990161e-05 1.185639e+01 1.208328e-05 4.781351e+02
1.108000e+00 9.427000e-02 9.255978e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 2.255979e+17 4.033233e-23
6.141000e-01 2.572000e-02 8.161278e-08 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.101799e+01 6.292025e+06 8.159853e+00
5.789000e-02 1.512000e-01 1.864333e+00 1.707691e-05 2.415040e-05 1.000000e-02 1.707691e-05 1.007410e+01 6.996380e-03 5.436784e+02
8.751000e-01 7.897000e-01 1.734831e-14 6.601087e-09 9.335347e-09 1.000000e-02 6.601087e-09 3.180203e+01 9.904765e+11 7.559414e-19
3.024000e-01 3.888000e-01 1.830297e-03 1.924333e-04 2.721418e-04 1.000000e-02 1.924333e-04 2.958540e+01 2.418286e-04 6.777693e+01
1.323000e-01 1.000000e-02 3.828330e-25 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.542810e+26 3.829381e-37
1.777000e+00 3.455000e-01 6.992743e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 2.262240e+15 3.047043e-22
1.777000e+00 8.886000e-01 4.270371e-17 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.728801e+13 1.860787e-21
5.144000e-02 2.894000e-02 1.237990e-02 1.714427e-04 2.424566e-04 1.000000e-02 1.714427e-04 1.704149e+01 4.718145e+05 3.638776e+02
1.247000e+00 2.285000e-02 1.747459e-30 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.921163e+28 1.747939e-42
3.207000e-02 1.125000e-02 3.264881e-03 4.392845e-04 6.212421e-04 1.000000e-02 4.392845e-04 8.207242e+00 1.421710e+06 6.300270e+02
1.777000e+00 2.728000e-01 3.964961e-06 9.407132e-03 1.330311e-02 1.000000e-02 9.406716e-03 1.766122e+01 3.613938e+03 3.508758e+02
1.108000e+00 1.194000e-01 6.363093e-06 9.235437e-03 1.306032e-02 1.000000e-02 9.235044e-03 1.068614e+01 3.576553e+04 5.427292e+02
6.514000e-02 7.444000e-02 1.462371e+00 1.682903e-05 2.379984e-05 1.000000e-02 1.682903e-05 1.282894e+01 5.179724e-01 4.141671e+02
1.885000e-01 7.897000e-01 6.943821e-04 2.067013e-04 2.923197e-04 1.000000e-02 2.067013e-04 3.161799e+01 3.384835e-06 2.966776e+01
2.122000e-01 2.285000e-02 1.575385e-05 2.427823e-03 3.433450e-03 1.000000e-02 2.427816e-03 2.968040e+01 2.716559e+06 9.285830e+01
4.062000e-02 7.444000e-02 5.194314e+00 1.071674e-05 1.515577e-05 1.000000e-02 1.071674e-05 7.289480e+00 8.781433e-02 5.965598e+02
1.045000e-01 4.642000e-02 2.766058e-03 2.919917e-04 4.129386e-04 1.000000e-02 2.919917e-04 2.064884e+01 2.821098e+05 2.358317e+02
8.249000e-02 1.604000e-02 3.175161e-04 1.096621e-03 1.550856e-03 1.000000e-02 1.096621e-03 1.300048e+01 1.777391e+06 3.818380e+02
1.176000e-01 1.425000e-02 5.602289e-05 2.532548e-03 3.581553e-03 1.000000e-02 2.532540e-03 1.602434e+01 2.540307e+06 3.593197e+02
2.000000e-02 1.266000e-02 2.906599e-02 1.436947e-04 2.032150e-04 1.000000e-02 1.436947e-04 5.952727e+00 8.927240e+05 6.001591e+02
5.457000e-01 1.914000e-01 2.337871e-04 1.107151e-03 1.565747e-03 1.000000e-02 1.107150e-03 2.063944e+01 1.299341e+04 2.865723e+02
8.751000e-01 1.343000e-01 2.041863e-05 4.234957e-03 5.989080e-03 1.000000e-02 4.234919e-03 1.470072e+01 3.598471e+04 3.662053e+02
1.323000e-01 7.444000e-02 5.894888e-03 2.533868e-04 3.583430e-04 1.000000e-02 2.533868e-04 1.683450e+01 8.278763e+04 3.784804e+02
3.829000e-01 1.000000e+00 1.967919e-08 2.294220e-10 3.244517e-10 1.000000e-02 2.294220e-10 3.180203e+01 5.875551e+06 1.035803e-15
2.000000e-02 8.377000e-02 2.465808e+01 4.548008e-06 6.431854e-06 1.000000e-02 4.548008e-06 1.071878e+01 6.581186e-02 5.100370e+02
9.848000e-01 1.000000e+00 3.647141e-12 6.601086e-09 9.335346e-09 1.000000e-02 6.601086e-09 3.180203e+01 1.651714e+07 1.589218e-16
3.207000e-02 1.000000e-02 1.753297e-03 3.282620e-04 4.642326e-04 1.000000e-02 3.282620e-04 2.074606e+01 4.672439e+06 1.889282e+02
2.533000e-02 1.194000e-01 1.316943e+01 5.645454e-06 7.983878e-06 1.000000e-02 5.645454e-06 1.222278e+01 2.364753e-02 4.197250e+02
4.849000e-01 7.897000e-01 3.310119e-08 4.615876e-10 6.527834e-10 1.000000e-02 4.615876e-10 3.180203e+01 6.525113e+06 7.052641e-15
4.849000e-01 1.701000e-01 4.570793e-04 1.060849e-03 1.500266e-03 1.000000e-02 1.060848e-03 7.583217e+00 1.573972e+04 5.143973e+02
2.687000e-01 1.125000e-02 4.409501e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.875270e+01 1.449285e+07 4.408732e+01
8.751000e-01 4.642000e-02 2.005038e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.990776e+01 1.339245e+06 2.004688e+01
4.571000e-02 7.897000e-01 4.231690e-03 7.242179e-05 1.024199e-04 1.000000e-02 7.242179e-05 3.174662e+01 1.604676e-06 2.219486e+01
1.247000e+00 1.914000e-01 1.154682e-17 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.050442e+16 5.031453e-22
4.571000e-02 3.455000e-01 6.219213e-01 2.653732e-05 3.752943e-05 1.000000e-02 2.653732e-05 1.410317e+01 1.428665e-04 4.379751e+02
3.207000e-02 5.541000e-01 6.861442e-02 8.547680e-05 1.208824e-04 1.000000e-02 8.547680e-05 2.022343e+01 1.641243e-06 5.013164e+02
1.045000e-01 1.000000e+00 9.078962e-08 2.876972e-11 4.068653e-11 1.000000e-02 2.876972e-11 3.180203e+01 2.619120e+07 7.514628e-17
3.403000e-01 9.427000e-02 3.424014e-04 1.155078e-03 1.633526e-03 1.000000e-02 1.155077e-03 8.125457e+00 6.317942e+04 4.568336e+02
1.403000e+00 1.512000e-01 2.460146e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 5.521239e+16 1.071993e-22
5.457000e-01 2.285000e-02 1.526127e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.053190e+01 7.091719e+06 1.525860e+01
6.514000e-02 3.665000e-02 9.469138e-03 2.052559e-04 2.902757e-04 1.000000e-02 2.052559e-04 1.655134e+01 2.555110e+05 3.989348e+02
2.000000e-02 2.894000e-02 2.665904e+01 4.411210e-06 6.238392e-06 1.000000e-02 4.411210e-06 1.346210e+01 3.153939e+00 5.187521e+02
3.024000e-01 1.701000e-01 1.983563e-03 3.328808e-04 4.707645e-04 1.000000e-02 3.328808e-04 1.894813e+01 2.106946e+04 2.197979e+02
4.849000e-01 5.223000e-02 1.195808e-05 5.566388e-03 7.871940e-03 1.000000e-02 5.566302e-03 2.124543e+01 2.262750e+05 3.705172e+02
2.687000e-01 4.375000e-01 1.687724e-03 2.339325e-04 3.308306e-04 1.000000e-02 2.339325e-04 2.799403e+01 4.597098e-05 9.235975e+01
1.247000e+00 1.194000e-01 2.015330e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.115927e+17 8.781673e-23
4.062000e-02 5.878000e-02 5.272266e+00 9.090229e-06 1.285553e-05 1.000000e-02 9.090229e-06 1.521902e+01 3.654349e-01 4.356593e+02
7.330000e-02 3.455000e-01 3.254333e-01 3.560150e-05 5.034812e-05 1.000000e-02 3.560150e-05 1.397153e+01 2.051082e-04 4.124759e+02
1.045000e-01 8.886000e-01 1.435009e-05 2.847663e-10 4.027204e-10 1.000000e-02 2.847663e-10 3.180203e+01 3.811217e+05 1.163675e-12
6.514000e-02 1.914000e-01 1.131981e+00 2.018405e-05 2.854456e-05 1.000000e-02 2.018405e-05 9.846740e+00 3.061816e-03 4.611647e+02
3.024000e-01 6.236000e-01 4.722451e-04 3.071199e-04 4.343331e-04 1.000000e-02 3.071199e-04 3.113049e+01 9.224583e-06 4.454340e+01
3.207000e-02 4.375000e-01 2.894957e-01 4.386500e-05 6.203448e-05 1.000000e-02 4.386500e-05 1.449775e+01 1.265665e-05 5.570297e+02
2.850000e-02 6.236000e-01 2.978187e-02 1.030322e-04 1.457096e-04 1.000000e-02 1.030322e-04 2.686487e+01 6.267721e-07 3.161537e+02
2.000000e+00 6.615000e-02 2.207386e-29 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 6.259523e+26 2.207992e-41
4.062000e-02 5.541000e-01 6.252189e-02 8.982981e-05 1.270385e-04 1.000000e-02 8.982981e-05 1.713481e+01 2.385221e-06 5.045138e+02
