# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
2.388000e-01 7.444000e-02 3.631017e-02 1.000026e-02 1.414179e-02 1.000000e-02 9.999756e-03 3.267851e+02 6.606802e+02 3.631203e+06 1.222785e-01
3.024000e-01 2.894000e-02 5.799357e-05 1.000050e-02 1.414213e-02 1.000000e-02 9.999997e-03 1.331425e+02 2.028273e+05 5.799934e+03 5.563568e-02
2.000000e-02 2.154000e-01 9.462867e-07 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 7.941385e+10 9.462867e-19 9.757065e-03
2.533000e-02 1.061000e-01 8.566154e-08 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 1.075709e+12 8.566154e-20 1.118187e-02
4.309000e-01 2.572000e-02 1.781359e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.571012e+01 1.515374e+06 1.781537e+02 6.833450e-02
1.489000e-01 2.894000e-02 1.206367e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.237829e+02 1.172165e+04 1.206488e+06 3.856486e-02
1.675000e-01 1.701000e-01 4.907522e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.271476e+02 4.180423e-05 4.908013e+06 1.000000e+00
1.176000e-01 1.701000e-01 1.685042e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276155e+02 1.045794e-07 1.685211e+07 1.000000e+00
4.062000e-02 1.343000e-01 4.370095e+00 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277234e+02 1.383866e-08 4.370532e+08 1.000000e+00
1.247000e+00 4.125000e-02 6.836771e-09 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.172737e+01 1.000827e+07 6.837455e-01 1.046791e-01
1.579000e+00 4.642000e-02 2.137339e-09 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.177823e+01 1.426001e+07 2.137553e-01 1.088567e-01
4.062000e-02 8.886000e-01 1.446782e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.068575e+02 4.665098e-11 1.446927e+05 1.000000e+00
4.062000e-02 3.888000e-01 8.976197e-08 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 5.570930e+10 8.976197e-20 1.471902e-02
