# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_geometry eff_selection eff_total
3.207000e-02 6.236000e-01 2.872235e-02 1.203823e-04 1.702462e-04 1.000000e-02 1.203823e-04 2.139364e+01 5.805455e-07 4.162411e+02 1.646363e-02 2.394406e-02 6.548445e-05
1.885000e-01 2.285000e-02 5.525929e-05 3.339565e-03 4.722832e-03 1.000000e-02 3.339547e-03 6.225789e+00 8.940638e+05 6.162900e+02 2.043450e-05 4.065871e-02 4.590026e-08
5.457000e-01 3.888000e-01 2.810976e-04 1.254440e-03 1.774045e-03 1.000000e-02 1.254439e-03 1.577077e+01 2.130256e+02 4.423410e+02 4.797303e-02 8.625651e-03 1.777883e-05
1.323000e-01 3.888000e-01 4.033520e-02 1.006352e-04 1.423197e-04 1.000000e-02 1.006352e-04 1.496248e+01 6.058291e-05 4.084926e+02 2.980184e-02 1.737592e-02 4.330020e-05
4.571000e-02 4.125000e-02 8.016913e-02 8.503346e-05 1.202555e-04 1.000000e-02 8.503346e-05 7.096972e+00 1.141460e+05 5.796781e+02 3.152773e-04 4.014144e-02 1.377248e-06
9.283000e-02 1.000000e+00 2.241730e-04 1.000000e-08 1.414214e-08 1.000000e-02 1.000000e-08 3.180203e+01 1.709865e+02 2.241730e-08 1.322931e-02 1.453616e-02 3.227041e-05
1.403000e+00 1.343000e-01 2.283659e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.501959e+01 4.355164e+04 2.283888e+02 2.213464e-03 3.158684e-02 2.188296e-06
1.579000e+00 3.070000e-01 8.321321e-06 7.492680e-03 1.059595e-02 1.000000e-02 7.492470e-03 1.091069e+01 1.960190e+03 4.671611e+02 4.017884e-02 1.227140e-02 1.746657e-05
2.533000e-02 2.728000e-01 2.566579e+00 1.427987e-05 2.019478e-05 1.000000e-02 1.427987e-05 1.018997e+01 3.075157e-04 5.233629e+02 1.298467e-02 3.469563e-02 6.839116e-05
1.247000e+00 3.070000e-01 2.144368e-05 4.722722e-03 6.678862e-03 1.000000e-02 4.722669e-03 1.066234e+01 1.890802e+03 4.782820e+02 3.963049e-02 1.256569e-02 1.842458e-05
8.751000e-01 1.194000e-01 1.779318e-05 5.826160e-03 8.239294e-03 1.000000e-02 5.826061e-03 6.083710e+00 3.475413e+04 6.039740e+02 2.493893e-03 3.410141e-02 2.905771e-06
9.848000e-01 8.377000e-02 2.948178e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.225614e+01 1.120938e+05 2.948473e+02 5.626162e-04 3.834701e-02 7.240355e-07
3.609000e-02 4.642000e-02 7.063074e+00 8.595082e-06 1.215528e-05 1.000000e-02 8.595082e-06 8.967011e+00 1.011773e+00 5.217876e+02 1.590976e-02 3.661725e-02 7.157815e-05
1.176000e-01 2.031000e-02 2.315506e-04 1.644847e-03 2.326162e-03 1.000000e-02 1.644845e-03 5.493884e+00 9.985374e+05 6.264653e+02 1.669585e-05 4.078827e-02 4.679900e-08
2.687000e-01 5.223000e-02 1.644646e-04 1.853802e-03 2.621667e-03 1.000000e-02 1.853798e-03 7.509122e+00 1.883653e+05 5.651959e+02 2.188649e-04 4.010547e-02 4.291847e-07
1.403000e+00 4.125000e-02 2.658929e-09 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.177593e+01 1.604420e+07 2.659195e-01 1.935340e-06 4.090789e-02 2.409507e-09
6.910000e-01 1.125000e-02 2.951753e-10 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.179914e+01 6.400296e+08 2.952048e-02 1.323476e-08 4.109672e-02 1.956565e-11
2.687000e-01 4.642000e-02 1.204167e-04 2.251347e-03 3.183878e-03 1.000000e-02 2.251342e-03 6.167389e+00 2.315229e+05 6.103400e+02 1.597373e-04 4.025937e-02 3.123764e-07
1.403000e+00 8.886000e-01 4.078602e-13 2.238721e-07 3.166030e-07 1.000000e-02 2.238721e-07 3.180203e+01 5.175452e+09 2.044143e-14 6.071179e-08 4.370961e-03 1.094036e-11
9.283000e-02 2.572000e-02 1.120408e-03 7.260017e-04 1.026721e-03 1.000000e-02 7.260015e-04 7.113279e+00 5.915685e+05 5.905430e+02 3.647834e-05 4.055365e-02 1.161532e-07
1.108000e+00 7.897000e-01 1.935788e-06 1.155822e-03 1.634578e-03 1.000000e-02 1.155821e-03 3.179601e+01 1.233719e+02 2.586067e+00 7.880832e-02 4.311444e-03 1.195261e-05
4.309000e-01 2.728000e-01 1.268478e-03 6.131441e-04 8.671166e-04 1.000000e-02 6.131440e-04 1.071193e+01 2.250063e+03 4.768789e+02 3.314248e-02 1.392648e-02 2.352460e-05
4.849000e-01 2.572000e-02 7.144230e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.563688e+01 2.430921e+06 7.144945e+01 8.119509e-06 4.123478e-02 1.366464e-08
