# mzprime m5 m4 delta sum_w_post_smearing v_mu5 v_54 epsilon u_mu5/u_mu4 chi2 decay_length N_events eff_geometry eff_selection eff_final
1.250000e+00 5.889000e-01 5.526412e-01 6.561000e-02 2.523215e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.074874e+01 1.650499e+02 2.523220e+01 5.172573e-02 9.908488e-02 5.125238e-03
1.250000e+00 1.007000e-01 9.524440e-02 5.728000e-02 1.770168e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180155e+01 2.261682e+06 1.770171e-02 1.740354e-05 9.543392e-02 1.660888e-06
1.250000e+00 3.396000e-02 3.212016e-02 5.728000e-02 1.335259e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 9.792447e+08 1.335261e-05 1.400348e-08 9.303928e-02 1.302873e-09
1.250000e+00 2.259000e-02 2.136615e-02 5.728000e-02 2.516682e-13 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 3.779661e+10 2.516687e-07 2.427439e-10 9.248475e-02 2.245011e-11
1.250000e+00 1.162000e+00 1.090455e+00 6.561000e-02 4.304256e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.145615e+01 5.502415e+00 4.304265e+00 8.566675e-01 1.104010e-01 9.457698e-02
1.250000e+00 2.588000e-02 2.428656e-02 6.561000e-02 5.315589e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 2.776169e+09 5.315600e-06 3.904959e-09 9.422595e-02 3.679485e-10
1.250000e+00 3.420000e-01 3.209429e-01 6.561000e-02 2.786945e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.076371e+01 2.508002e+03 2.786951e+01 2.462417e-02 9.836192e-02 2.422080e-03
1.250000e+00 3.891000e-02 3.680198e-02 5.728000e-02 4.072532e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 4.084112e+08 4.072540e-05 3.833058e-08 9.452672e-02 3.623264e-09
1.250000e+00 1.972000e-02 1.865163e-02 5.728000e-02 8.270916e-15 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 9.293571e+11 8.270933e-09 7.712285e-12 9.220472e-02 7.111091e-13
1.250000e+00 2.000000e+00 1.876859e+00 6.561000e-02 7.082162e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.179525e+01 3.619725e-01 7.082176e-02 9.574036e-01 1.172173e-01 1.122243e-01
1.250000e+00 8.790000e-02 8.248796e-02 6.561000e-02 1.899946e-08 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180154e+01 2.384700e+06 1.899950e-02 1.494665e-05 9.529508e-02 1.424342e-06
1.250000e+00 4.457000e-02 4.215534e-02 5.728000e-02 9.408225e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 1.809336e+08 9.408244e-05 9.791818e-08 9.495401e-02 9.297724e-09
1.250000e+00 6.699000e-02 6.336070e-02 5.728000e-02 1.334913e-09 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180200e+01 1.896840e+07 1.334915e-03 1.354556e-06 9.411188e-02 1.274798e-07
1.250000e+00 2.965000e-02 2.782444e-02 6.561000e-02 1.709986e-11 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 1.044254e+09 1.709989e-05 1.194374e-08 9.573984e-02 1.143491e-09
1.250000e+00 6.746000e-01 6.330646e-01 6.561000e-02 2.316770e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.078647e+01 8.362562e+01 2.316775e+01 9.563356e-02 9.948125e-02 9.513746e-03
1.250000e+00 2.588000e-02 2.447791e-02 5.728000e-02 1.277642e-12 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 8.109950e+09 1.277645e-06 1.224280e-09 9.304864e-02 1.139176e-10
1.250000e+00 1.014000e+00 9.515677e-01 6.561000e-02 7.607625e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.125859e+01 1.088178e+01 7.607640e+00 6.608349e-01 1.075577e-01 7.107791e-02
1.250000e+00 8.852000e-01 8.306979e-01 6.561000e-02 1.256118e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.104235e+01 2.147777e+01 1.256121e+01 3.780627e-01 1.041102e-01 3.936018e-02
1.250000e+00 1.524000e+00 1.441435e+00 5.728000e-02 1.048850e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.171191e+01 2.655490e+00 1.048852e+00 8.530895e-01 1.119647e-01 9.551587e-02
1.250000e+00 2.986000e-01 2.802151e-01 6.561000e-02 1.897218e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.118293e+01 4.951784e+03 1.897222e+01 1.625815e-02 9.697895e-02 1.576698e-03
1.250000e+00 1.524000e+00 1.430167e+00 6.561000e-02 1.054531e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.170735e+01 1.414479e+00 1.054533e+00 8.687924e-01 1.139417e-01 9.899172e-02
1.250000e+00 2.986000e-01 2.824228e-01 5.728000e-02 8.566509e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.154276e+01 9.291869e+03 8.566526e+00 9.884589e-03 9.620433e-02 9.509403e-04
1.250000e+00 3.420000e-01 3.234716e-01 5.728000e-02 1.472421e-05 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.132538e+01 4.704495e+03 1.472423e+01 1.613160e-02 9.696072e-02 1.564132e-03
1.250000e+00 1.734000e-01 1.627237e-01 6.561000e-02 1.177034e-06 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.176311e+01 7.582816e+04 1.177036e+00 9.247433e-04 9.682537e-02 8.953862e-05
1.250000e+00 2.965000e-02 2.729976e-02 8.609000e-02 1.405707e-10 2.000002e-03 1.000000e+00 1.000000e-02 1.000001e-03 3.180203e+01 2.206037e+08 1.405710e-04 6.280045e-08 9.643279e-02 6.056023e-09
