# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length MB_N_events eff_selection eff_total
6.514000e-02 2.154000e-01 9.797202e-01 2.340714e-05 3.310270e-05 1.000000e-02 2.340714e-05 8.463140e+00 1.574336e-03 5.367830e+02 3.252662e-02 6.739094e-05
1.247000e+00 7.017000e-01 3.226738e-06 5.628928e-03 7.960381e-03 1.000000e-02 5.628839e-03 3.056264e+01 1.782799e+01 1.022387e+02 4.805607e-03 1.707366e-05
3.609000e-02 4.924000e-01 1.383202e-01 6.088479e-05 8.610409e-05 1.000000e-02 6.088479e-05 1.446031e+01 5.838761e-06 5.127472e+02 2.944494e-02 7.270934e-05
1.489000e-01 1.194000e-01 1.999779e-02 1.678708e-04 2.374051e-04 1.000000e-02 1.678708e-04 6.821357e+00 2.082808e+04 5.635495e+02 3.247705e-02 8.643489e-06
7.330000e-02 1.604000e-02 6.128085e-04 9.784660e-04 1.383759e-03 1.000000e-02 9.784656e-04 6.410822e+00 1.376467e+06 5.867003e+02 4.078936e-02 3.387280e-08
7.776000e-01 5.878000e-02 2.390895e-06 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 1.490488e+01 2.564654e+05 2.390478e+02 4.019551e-02 2.458244e-07
7.776000e-01 2.572000e-02 1.711658e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 1.609114e+27 1.712128e-40 4.118805e-02 1.741760e-29
5.144000e-02 7.897000e-01 3.655023e-03 1.972370e-04 2.789353e-04 1.000000e-02 1.972370e-04 2.993454e+01 2.739968e-07 1.421893e+02 1.866558e-02 5.619071e-05
1.176000e-01 1.194000e-01 2.152420e-01 4.453407e-05 6.298068e-05 1.000000e-02 4.453407e-05 1.436189e+01 3.086844e+00 4.268859e+02 2.091751e-02 4.639567e-05
2.000000e+00 2.728000e-01 1.569581e-18 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 1.187915e+16 6.839350e-23 1.486744e-02 7.448445e-18
2.251000e-02 1.512000e-01 1.129602e+01 6.934178e-06 9.806408e-06 1.000000e-02 6.934178e-06 8.211529e+00 6.056485e-03 5.431443e+02 3.687095e-02 6.910428e-05
4.309000e-01 7.444000e-02 7.646237e-05 2.788686e-03 3.943783e-03 1.000000e-02 2.788676e-03 6.473344e+00 9.398747e+04 5.946304e+02 3.895891e-02 9.811204e-07
1.675000e-01 2.572000e-02 1.259906e-04 2.240290e-03 3.168240e-03 1.000000e-02 2.240284e-03 5.990996e+00 6.808479e+05 6.323340e+02 4.037809e-02 7.228859e-08
5.144000e-02 2.154000e-01 1.654695e+00 1.807142e-05 2.555685e-05 1.000000e-02 1.807142e-05 8.635412e+00 1.623562e-03 5.403843e+02 3.462558e-02 7.096605e-05
3.403000e-01 5.541000e-01 4.686529e-04 3.212700e-04 4.543443e-04 1.000000e-02 3.212700e-04 3.110228e+01 1.922484e-05 4.837172e+01 5.948656e-03 1.850381e-05
3.024000e-01 7.017000e-01 3.493566e-04 2.840308e-04 4.016802e-04 1.000000e-02 2.840308e-04 3.158814e+01 7.157204e-06 2.818382e+01 9.380086e-03 3.190433e-05
1.247000e+00 9.427000e-02 8.982034e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.384168e+01 1.598379e+05 8.980466e+01 3.718855e-02 5.323024e-07
4.849000e-01 2.572000e-02 6.801469e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 2.558433e+01 2.432301e+06 6.800282e+01 4.086887e-02 1.304326e-08
2.000000e-02 2.894000e-02 2.520793e+01 4.726012e-06 6.683591e-06 1.000000e-02 4.726012e-06 7.443496e+00 2.746936e+00 5.630240e+02 3.900898e-02 6.923296e-05
9.283000e-02 8.377000e-02 4.938710e-02 1.073307e-04 1.517885e-04 1.000000e-02 1.073307e-04 7.015596e+00 3.525041e+04 5.689331e+02 3.642928e-02 5.257405e-06
1.045000e-01 1.805000e-02 2.435381e-04 1.558092e-03 2.203472e-03 1.000000e-02 1.558090e-03 7.408045e+00 1.254773e+06 5.912251e+02 4.029938e-02 3.530519e-08
8.751000e-01 3.257000e-02 2.865859e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 7.909241e+26 2.866646e-40 4.105098e-02 4.494084e-29
4.062000e-02 1.266000e-02 2.419523e-03 4.933082e-04 6.976431e-04 1.000000e-02 4.933081e-04 6.698819e+00 1.626645e+06 5.887981e+02 4.036937e-02 3.149992e-08
5.789000e-02 1.125000e-02 4.924517e-04 1.124224e-03 1.589892e-03 1.000000e-02 1.124224e-03 5.976490e+00 2.435410e+06 6.223999e+02 4.007563e-02 1.506985e-08
6.514000e-02 6.615000e-02 1.225529e+00 2.074642e-05 2.933986e-05 1.000000e-02 2.074642e-05 9.194851e+00 2.502962e+01 5.274846e+02 3.147468e-02 5.099202e-05
2.687000e-01 8.886000e-01 4.394797e-07 3.153721e-10 4.460035e-10 1.000000e-02 3.153721e-10 3.180203e+01 2.101930e+06 4.371047e-14 1.297237e-02 1.361157e-07
6.141000e-01 3.455000e-01 2.584706e-04 1.342697e-03 1.898859e-03 1.000000e-02 1.342696e-03 1.317248e+01 6.365940e+02 4.659799e+02 1.043167e-02 2.025552e-05
6.514000e-02 1.604000e-02 9.831962e-04 7.944157e-04 1.123473e-03 1.000000e-02 7.944155e-04 6.016306e+00 1.291870e+06 6.204915e+02 4.057217e-02 3.986682e-08
4.571000e-02 2.154000e-01 2.085640e+00 1.609060e-05 2.275554e-05 1.000000e-02 1.609060e-05 8.396242e+00 1.611403e-03 5.399875e+02 3.557127e-02 7.103329e-05
6.141000e-01 1.701000e-01 1.603893e-04 1.805983e-03 2.554041e-03 1.000000e-02 1.805980e-03 8.544126e+00 1.440630e+04 5.231215e+02 2.670844e-02 7.814703e-06
4.849000e-01 2.031000e-02 1.715982e-07 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 3.013481e+01 7.948294e+06 1.715682e+01 4.066511e-02 3.279186e-09
5.789000e-02 3.070000e-01 6.498351e-01 2.786713e-05 3.941007e-05 1.000000e-02 2.786713e-05 1.029524e+01 2.969698e-04 5.046468e+02 3.234207e-02 7.061460e-05
2.000000e+00 1.061000e-01 3.866782e-28 1.000137e-12 1.414408e-12 1.000000e-02 1.000137e-12 3.180203e+01 5.873643e+25 3.867844e-40 3.564073e-02 1.415844e-27
7.776000e-01 4.125000e-02 1.298308e-19 6.601088e-09 9.335348e-09 1.000000e-02 6.601088e-09 3.180203e+01 3.469030e+18 5.657295e-24 4.084007e-02 1.320150e-20
2.388000e-01 1.914000e-01 8.978165e-03 2.420091e-04 3.422526e-04 1.000000e-02 2.420091e-04 8.835658e+00 6.270518e+03 5.258368e+02 2.090562e-02 1.898000e-05
9.283000e-02 7.017000e-01 5.974284e-03 2.191129e-04 3.098724e-04 1.000000e-02 2.191129e-04 2.468819e+01 1.031494e-06 2.868281e+02 2.251059e-02 7.135870e-05
3.403000e-01 2.031000e-02 2.750651e-06 9.999127e-03 1.414019e-02 1.000000e-02 9.998628e-03 1.249410e+01 1.925265e+06 2.750171e+02 4.057483e-02 1.556231e-08
